Time,Wind Speed
0 sec,1.8
5 sec,1.8
25 sec,12.8
30 sec,9.8
55 sec,14.8
75 sec,13.8
80 sec,11.8
120 sec,15
125 sec,11.2
145 sec,8.8
180 sec,10.4
195 sec,19.4
205 sec,17.6
220 sec,13.4
230 sec,16.8
250 sec,16.8
265 sec,12.2
285 sec,11.4
300 sec,8.8
300 sec,14.2
320 sec,16.4
330 sec,11
350 sec,11.8
370 sec,16
395 sec,11.2
425 sec,10.6
435 sec,13
445 sec,17.8
485 sec,12.4
510 sec,12
510 sec,15.2
545 sec,15.6
565 sec,18.8
580 sec,10.6
600 sec,13.8
620 sec,11.2
630 sec,14.8
640 sec,18.2
650 sec,13
665 sec,14
675 sec,11.4
685 sec,18.8
700 sec,13.4
715 sec,13.6
745 sec,17.6
760 sec,15.2
775 sec,9.8
785 sec,13.6
800 sec,13.8
810 sec,17.2
825 sec,9.6
840 sec,13
850 sec,16.2
865 sec,11.2
890 sec,11.8
925 sec,15.6
940 sec,10.6
955 sec,10.8
975 sec,11.8
995 sec,16.6
1015 sec,12
1030 sec,12
1045 sec,16
1065 sec,17.2
1080 sec,15.4
1080 sec,13.8
1100 sec,11.6
1100 sec,14.6
1120 sec,17.4
1150 sec,15.4
1150 sec,13.8
1180 sec,11.2
1190 sec,15.8
1210 sec,15.6
1230 sec,12.4
1250 sec,15.8
1264 sec,14.33
1290 sec,11.6
1304 sec,16.8
1320 sec,19.2
1348 sec,14.6
1370 sec,18.8
1400 sec,15
1440 sec,17.2
